run_number,day,month,clients_case1,clients_case2,clients_case3,clients_case4,shelter_capacity_left,sent_to_hotel,ppl_turned_away
3,1,January,0,0,0,0,35,1,0
3,2,January,0,0,3,0,32,1,0
3,3,January,0,2,0,0,30,1,0
3,4,January,1,0,-3,4,28,1,0
3,5,January,5,1,2,3,26,0,4
3,6,January,2,5,2,3,15,0,5
3,7,January,3,-1,-1,0,3,1,1
3,8,January,1,-3,4,2,2,0,4
3,9,January,-3,-1,2,1,0,1,2
3,10,January,-1,-2,2,0,1,1,0
3,11,January,-1,0,-1,1,2,0,4
3,12,January,4,3,5,5,3,1,5
3,13,January,1,2,4,0,0,1,1
3,14,January,2,3,1,-2,0,1,0
3,15,January,-1,-3,2,4,0,1,5
3,16,January,4,-3,-1,4,0,0,4
3,17,January,2,3,4,3,0,1,4
3,18,January,2,-1,5,-1,0,0,4
3,19,January,-3,0,-2,-2,0,1,3
3,20,January,-3,5,2,-1,7,1,4
3,21,January,4,1,-1,4,4,1,2
3,22,January,-2,4,1,-1,0,0,4
3,23,January,0,3,5,-1,0,0,1
3,24,January,-1,4,1,1,0,1,1
3,25,January,2,-2,-2,2,0,1,0
3,26,January,-1,-2,-2,1,0,1,4
3,27,January,-1,5,0,-3,4,0,4
3,28,January,2,3,-2,-1,3,0,0
3,29,January,-2,-2,-1,1,1,0,2
3,30,January,1,5,-2,-1,5,1,2
3,31,January,-3,2,-2,4,2,1,1
3,32,February,2,0,5,4,1,0,3
3,33,February,3,4,3,2,0,0,2
3,34,February,-1,4,-1,-1,0,1,5
3,35,February,-1,5,5,2,0,1,2
3,36,February,-1,-1,4,4,0,1,5
3,37,February,5,5,-2,4,0,0,3
3,38,February,5,4,4,-1,0,0,0
3,39,February,-1,1,-3,3,0,1,5
3,40,February,0,3,1,-1,0,1,1
3,41,February,2,2,1,-3,0,0,1
3,42,February,-1,3,0,2,0,1,4
3,43,February,-1,4,4,-1,0,0,0
3,44,February,2,-3,-2,2,0,1,4
3,45,February,4,-1,3,5,1,1,3
3,46,February,0,3,2,-2,0,0,2
3,47,February,4,5,4,0,0,0,3
3,48,February,3,2,3,-1,0,0,2
3,49,February,-1,4,0,-3,0,1,3
3,50,February,2,0,-3,3,0,1,2
3,51,February,5,5,-1,3,0,1,3
3,52,February,-1,1,1,1,0,1,4
3,53,February,3,-1,2,-3,0,1,1
3,54,February,-1,5,1,3,0,0,3
3,55,February,4,-1,-3,0,0,1,1
3,56,February,1,5,-1,-2,0,1,4
3,57,February,5,-2,2,5,0,0,1
3,58,February,0,1,2,2,0,0,1
3,59,February,4,1,5,0,0,1,3
3,60,February,4,3,0,2,0,0,4
3,61,March,4,3,5,-1,0,1,0
3,62,March,-3,1,0,2,0,1,2
